Number,VcsUrl,JobName,Repo,Link,Inspection_1,Subtype_1,Purpose,IS_CONFLICT?Purpose,2 Label,2 Remarks,3 remarks,Final Label,Final Label notes,Programming Purposes,Mechanism_1,Mechanism_2,IS_CONFLICT?Mechanism,,Programming Mechanisms,Impact (HALT/SKIP/MINIMIZE),magnitude,IS_CONFLICT_Magnitude,Final_magnitude,Programming Magnitude,Remark_1,Purpose_sub,Remark_2,VcsUrl,JobName,Repo,Link,Related statements,From original only,WeightedMiddle,AverageRatio,HighestRatio,LowestRatio,ValidBuildCount,Random,NonZeroBuildCount,MaxNonZeroBuildCountPerMonth,HitRule
219,https://github.com/googleapis/artman,golden_and_smoke_tests,googleapis/artman,golden_and_smoke_tests,#N/A,Skipping smoke tests in master branch,Only run tests on certain branch or with tag,△,Only run tests on certain branch or with tag,,,,,Only run tests on certain branch or with tag,Check branch name using environment variable,Check CircleCI env var.,0,Check branch name using environment variable,Check branch name using environment variable,SKIP,Step,0,,Step,,,Conditionally run smoketests against all APIs,,,,,"if [ ""${CIRCLE_BRANCH}"" == ""master"" ] || [ ""${CIRCLE_TAG}"" != """" ]; then",,0.157203012,0.173231124,0.693341028,0.044292698,1020,12575750401775453765,1084,124,FALSE
64,https://github.com/googleapis/gapic-showcase,test,googleapis/gapic-showcase,test,#N/A,x,x?,0,,,,,,x,x,,?,,x,,,?,,x,,,,https://github.com/googleapis/gapic-showcase,test,googleapis/gapic-showcase,test,,,0.079282458,0.3369127,0.887360147,0.016004912,1398,12826392640350991683,1486,512,FALSE
134,https://github.com/grafana/grafana,build-enterprise-backend-arm64,grafana/grafana,build-enterprise-backend-arm64,#N/A,Skip install for forked PRs of enterprise product,Skip if enterprise and forked PR,0,,,,,,x,Check PR_number using environment variable;  ,"Check Circle CI env var.
Use build parameters",△,,x,HALT,Remaining steps,0,,x,,,Exit if enterprise and forked PR,https://github.com/grafana/grafana,build-enterprise-backend-arm64,grafana/grafana,build-enterprise-backend-arm64,"if [[ ""enterprise"" == ""enterprise"" && -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.736089738,0.687489487,0.786645602,0.462312692,2650,6474022441737754703,2818,506,TRUE
201,https://github.com/grafana/grafana,build-enterprise-backend-arm64-musl,grafana/grafana,build-enterprise-backend-arm64-musl,#N/A,Skip install for forked PRs of enterprise product,Skip if enterprise and forked PR,0,,,,,,x,Check PR_number using environment variable;  ,"Check Circle CI env var.
Use build parameters",△,,x,HALT,Remaining steps,0,,x,https://github.com/grafana/grafana/blob/b98c85d81c0b33437d33018594f5a211cc9e205a/scripts/circle-release-next-packages.sh,,Exit if enterprise and forked PR,https://github.com/grafana/grafana,build-enterprise-backend-arm64-musl,grafana/grafana,build-enterprise-backend-arm64-musl,"if [[ ""enterprise"" == ""enterprise"" && -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.760768468,0.660927861,0.765692782,0.259989036,2649,206116476617638740,2817,504,TRUE
124,https://github.com/grafana/grafana,build-enterprise-backend-armv6,grafana/grafana,build-enterprise-backend-armv6,#N/A,Skip install for forked PRs of enterprise product,Skip if enterprise and forked PR,0,,,,,,x,Check PR_number using environment variable;  ,"Check Circle CI env var.
Use build parameters",△,,x,HALT,Remaining steps,0,,x,,,Exit if enterprise and forked PR,https://github.com/grafana/grafana,build-enterprise-backend-armv6,grafana/grafana,build-enterprise-backend-armv6,"if [[ ""enterprise"" == ""enterprise"" && -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.694210675,0.689661551,0.76496437,0.545864929,2649,7449773636892270586,2817,505,TRUE
180,https://github.com/grafana/grafana,build-enterprise-backend-armv7,grafana/grafana,build-enterprise-backend-armv7,#N/A,Skip install for forked PRs of enterprise product,Skip if enterprise and forked PR,0,,,,,,x,Check PR_number using environment variable;  ,"Check Circle CI env var.
Use build parameters",△,,x,HALT,Remaining steps,0,,x,,,Exit if enterprise and forked PR,https://github.com/grafana/grafana,build-enterprise-backend-armv7,grafana/grafana,build-enterprise-backend-armv7,"if [[ ""enterprise"" == ""enterprise"" && -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.735980332,0.71578679,0.83599027,0.487418306,2652,2300632338470335832,2820,506,TRUE
36,https://github.com/grafana/grafana,build-enterprise-backend-armv7-musl,grafana/grafana,build-enterprise-backend-armv7-musl,#N/A,Skip install for forked PRs of enterprise product,Skip if enterprise and forked PR,0,,,,,,x,Check PR_number using environment variable;  ,"Check Circle CI env var.
Use build parameters",△,,x,HALT,Remaining steps,0,,x,,,Exit if enterprise and forked PR,https://github.com/grafana/grafana,build-enterprise-backend-armv7-musl,grafana/grafana,build-enterprise-backend-armv7-musl,"if [[ ""enterprise"" == ""enterprise"" && -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.718244017,0.711141783,0.825809963,0.510162742,2647,14879866652063389236,2815,505,TRUE
105,https://github.com/grafana/grafana,build-enterprise-backend-linux-x64,grafana/grafana,build-enterprise-backend-linux-x64,#N/A,Skip install for forked PRs of enterprise product,Skip if enterprise and forked PR,0,,,,,,x,Check PR_number using environment variable;  ,"Check Circle CI env var.
Use build parameters",△,,x,HALT,Remaining steps,0,,x,,,Exit if enterprise and forked PR,https://github.com/grafana/grafana,build-enterprise-backend-linux-x64,grafana/grafana,build-enterprise-backend-linux-x64,"if [[ ""enterprise"" == ""enterprise"" && -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.643943578,0.675961235,0.829398262,0.398148331,7464,9556754402458442915,7939,1789,TRUE
4,https://github.com/grafana/grafana,build-enterprise-backend-linux-x64-musl,grafana/grafana,build-enterprise-backend-linux-x64-musl,yes,Skip install for forked PRs of enterprise product,Skip if enterprise and forked PR,0,,,,,,x,Check PR_number using environment variable;  ,"Check Circle CI env var.
Use build parameters",△,,x,HALT,Remaining steps,0,,x,,,Exit if enterprise and forked PR,https://github.com/grafana/grafana,build-enterprise-backend-linux-x64-musl,grafana/grafana,build-enterprise-backend-linux-x64-musl,"if [[ ""enterprise"" == ""enterprise"" && -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.662760892,0.688461417,0.86826269,0.544464714,7458,18086441353405785027,7933,1791,TRUE
144,https://github.com/grafana/grafana,build-enterprise-backend-osx64,grafana/grafana,build-enterprise-backend-osx64,#N/A,Skip install for forked PRs of enterprise product,Skip if enterprise and forked PR,0,,,,,,x,Check PR_number using environment variable;  ,"Check Circle CI env var.
Use build parameters",△,,x,HALT,Remaining steps,0,,x,,,Exit if enterprise and forked PR,https://github.com/grafana/grafana,build-enterprise-backend-osx64,grafana/grafana,build-enterprise-backend-osx64,"if [[ ""enterprise"" == ""enterprise"" && -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.657722155,0.703662841,0.848783772,0.610073034,7452,5546341461898217110,7926,1783,TRUE
80,https://github.com/grafana/grafana,build-enterprise-backend-win64,grafana/grafana,build-enterprise-backend-win64,#N/A,Skip install for forked PRs of enterprise product,Skip if enterprise and forked PR,0,,,,,,x,Check PR_number using environment variable;  ,"Check Circle CI env var.
Use build parameters",△,,x,HALT,Remaining steps,0,,x,,,Exit if enterprise and forked PR,https://github.com/grafana/grafana,build-enterprise-backend-win64,grafana/grafana,build-enterprise-backend-win64,"if [[ ""enterprise"" == ""enterprise"" && -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.649231727,0.659235946,0.839678997,0.331495056,7477,11727351448981221287,7953,1792,TRUE
143,https://github.com/grafana/grafana,build-enterprise-docker-images,grafana/grafana,build-enterprise-docker-images,#N/A,Skip install for forked PRs of enterprise product; Skip publishing for PR commits,Skip if enterprise and forked PR,△,Skip if enterprise and forked PR,,,,,x,Check PR_number using environment variable;  Check PR_number using environment variable;  ,"Check Circle CI env var.
Use build parameters",△,,x,HALT;HALT,Remaining steps,0,,x,,,Exit if enterprise and forked PR,https://github.com/grafana/grafana,build-enterprise-docker-images,grafana/grafana,build-enterprise-docker-images,"if [[ ""enterprise"" == ""enterprise"" && -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.266654069,0.310139112,0.639820935,0,4909,5576678850668110874,5222,1434,TRUE
37,https://github.com/grafana/grafana,build-enterprise-frontend,grafana/grafana,build-enterprise-frontend,#N/A,Skip install for forked PRs of enterprise product,Skip if enterprise and forked PR,0,,,,,,x,Check PR_number using environment variable;  ,"Check Circle CI env var.
Use build parameters",△,,x,HALT,Remaining steps,0,,x,,,Exit if enterprise and forked PR,https://github.com/grafana/grafana,build-enterprise-frontend,grafana/grafana,build-enterprise-frontend,"if [[ ""enterprise"" == ""enterprise"" && -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.204809614,0.349567064,0.769766307,0.148069214,7064,14735373937925740755,7514,1743,TRUE
91,https://github.com/grafana/grafana,build-enterprise-plugins,grafana/grafana,build-enterprise-plugins,#N/A,Skip install for forked PRs of enterprise product,Skip if enterprise and forked PR,0,,,,,,x,Check PR_number using environment variable;  ,"Check Circle CI env var.
Use build parameters",△,,x,HALT,Remaining steps,0,,x,,,Exit if enterprise and forked PR,https://github.com/grafana/grafana,build-enterprise-plugins,grafana/grafana,build-enterprise-plugins,"if [[ ""enterprise"" == ""enterprise"" && -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.488425257,0.504934884,0.800346138,0.230650637,4702,11064961428544629754,5002,1798,TRUE
149,https://github.com/grafana/grafana,build-enterprise-ubuntu-docker-images,grafana/grafana,build-enterprise-ubuntu-docker-images,#N/A,Skip install for forked PRs of enterprise product; Skip publishing for PR commits,Skip if enterprise and forked PR,△,Skip if enterprise and forked PR,,,,,x,Check PR_number using environment variable;  Check PR_number using environment variable;  ,"Check Circle CI env var.
Use build parameters",△,,x,HALT;HALT,Remaining steps,0,,x,,,Exit if enterprise and forked PR,https://github.com/grafana/grafana,build-enterprise-ubuntu-docker-images,grafana/grafana,build-enterprise-ubuntu-docker-images,"if [[ ""enterprise"" == ""enterprise"" && -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.190590007,0.235465299,0.569266167,0,4905,5210467137732745374,5217,1435,TRUE
54,https://github.com/grafana/grafana,build-enterprise-windows-installer,grafana/grafana,build-enterprise-windows-installer,#N/A,Skip install for forked PRs of enterprise product,Skip if PR,△,Skip for forked PRs,,,,,x,Check PR_number using environment variable;  ,Check Circle CI env var.,0,,x,HALT,Remaining steps,0,,x,,,Exit if forked PR,https://github.com/grafana/grafana,build-enterprise-windows-installer,grafana/grafana,build-enterprise-windows-installer,"if [[ -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.71020937,0.680992488,0.860917261,0.324488263,5928,13642679418633936860,6306,1571,TRUE
112,https://github.com/grafana/grafana,build-oss-backend-arm64,grafana/grafana,build-oss-backend-arm64,#N/A,Skip install for forked PRs of enterprise product,Skip if enterprise and forked PR,0,,,,,,x,Check PR_number using environment variable;  ,"Check Circle CI env var.
Use build parameters",△,,x,HALT,Remaining steps,0,,x,,,Exit if enterprise and forked PR,https://github.com/grafana/grafana,build-oss-backend-arm64,grafana/grafana,build-oss-backend-arm64,"if [[ ""oss"" == ""enterprise"" && -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.701958658,0.689732075,0.823745146,0.509691989,2662,8595456920285311706,2831,508,TRUE
195,https://github.com/grafana/grafana,build-oss-backend-arm64-musl,grafana/grafana,build-oss-backend-arm64-musl,#N/A,Skip install for forked PRs of enterprise product,Skip if enterprise and forked PR,0,,,,,,x,Check PR_number using environment variable;  ,"Check Circle CI env var.
Use build parameters",△,,x,HALT,Remaining steps,0,,x,,,Exit if enterprise and forked PR,https://github.com/grafana/grafana,build-oss-backend-arm64-musl,grafana/grafana,build-oss-backend-arm64-musl,"if [[ ""oss"" == ""enterprise"" && -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.729827442,0.720321293,0.811638877,0.492419809,2660,438770295978035239,2829,507,TRUE
43,https://github.com/grafana/grafana,build-oss-backend-armv6,grafana/grafana,build-oss-backend-armv6,#N/A,Skip install for forked PRs of enterprise product,Skip if enterprise and forked PR,0,,,,,,x,Check PR_number using environment variable;  ,"Check Circle CI env var.
Use build parameters",△,,x,HALT,Remaining steps,0,,x,,,Exit if enterprise and forked PR,https://github.com/grafana/grafana,build-oss-backend-armv6,grafana/grafana,build-oss-backend-armv6,"if [[ ""oss"" == ""enterprise"" && -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.744738628,0.717195921,0.811225595,0.56703035,2661,14323249006181171130,2830,507,TRUE
173,https://github.com/grafana/grafana,build-oss-backend-armv7,grafana/grafana,build-oss-backend-armv7,#N/A,Skip install for forked PRs of enterprise product,Skip if enterprise and forked PR,0,,,,,,x,Check PR_number using environment variable;  ,"Check Circle CI env var.
Use build parameters",△,,x,HALT,Remaining steps,0,,x,,,Exit if enterprise and forked PR,https://github.com/grafana/grafana,build-oss-backend-armv7,grafana/grafana,build-oss-backend-armv7,"if [[ ""oss"" == ""enterprise"" && -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.686966642,0.714656309,0.863821253,0.52941521,2659,2964473501903852183,2828,506,TRUE
50,https://github.com/grafana/grafana,build-oss-backend-armv7-musl,grafana/grafana,build-oss-backend-armv7-musl,#N/A,Skip install for forked PRs of enterprise product,Skip if enterprise and forked PR,0,,,,,,x,Check PR_number using environment variable;  ,"Check Circle CI env var.
Use build parameters",△,,x,HALT,Remaining steps,0,,x,,,Exit if enterprise and forked PR,https://github.com/grafana/grafana,build-oss-backend-armv7-musl,grafana/grafana,build-oss-backend-armv7-musl,"if [[ ""oss"" == ""enterprise"" && -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.681820043,0.710449728,0.845209782,0.566982307,2658,13768514665452172856,2827,507,TRUE
84,https://github.com/grafana/grafana,build-oss-backend-linux-x64,grafana/grafana,build-oss-backend-linux-x64,#N/A,Skip install for forked PRs of enterprise product,Skip if enterprise and forked PR,0,,,,,,x,Check PR_number using environment variable;  ,"Check Circle CI env var.
Use build parameters",△,,x,HALT,Remaining steps,0,,x,,,Exit if enterprise and forked PR,https://github.com/grafana/grafana,build-oss-backend-linux-x64,grafana/grafana,build-oss-backend-linux-x64,"if [[ ""oss"" == ""enterprise"" && -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.715989476,0.689848648,0.781565184,0.400846862,7561,11555156375380036783,8043,1831,TRUE
116,https://github.com/grafana/grafana,build-oss-backend-linux-x64-musl,grafana/grafana,build-oss-backend-linux-x64-musl,#N/A,Skip install for forked PRs of enterprise product,Skip if enterprise and forked PR,0,,,,,,x,Check PR_number using environment variable;  ,"Check Circle CI env var.
Use build parameters",△,,x,HALT,Remaining steps,0,,x,There is halt but it does not work,,Exit if enterprise and forked PR,https://github.com/grafana/grafana,build-oss-backend-linux-x64-musl,grafana/grafana,build-oss-backend-linux-x64-musl,"if [[ ""oss"" == ""enterprise"" && -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.72451011,0.69149479,0.827006184,0.347126769,7551,8426531185448277725,8032,1831,TRUE
171,https://github.com/grafana/grafana,build-oss-backend-osx64,grafana/grafana,build-oss-backend-osx64,#N/A,Skip install for forked PRs of enterprise product,Skip if enterprise and forked PR,0,,,,,,x,Check PR_number using environment variable;  ,"Check Circle CI env var.
Use build parameters",△,,x,HALT,Remaining steps,0,,x,,,Exit if enterprise and forked PR,https://github.com/grafana/grafana,build-oss-backend-osx64,grafana/grafana,build-oss-backend-osx64,"if [[ ""oss"" == ""enterprise"" && -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.744739342,0.692622504,0.827994708,0.238960015,7547,3155156687703498429,8028,1831,TRUE
35,https://github.com/grafana/grafana,build-oss-backend-win64,grafana/grafana,build-oss-backend-win64,#N/A,Skip install for forked PRs of enterprise product,Skip if enterprise and forked PR,0,,,,,,x,Check PR_number using environment variable;  ,"Check Circle CI env var.
Use build parameters",△,,x,HALT,Remaining steps,0,,x,,,Exit if enterprise and forked PR,https://github.com/grafana/grafana,build-oss-backend-win64,grafana/grafana,build-oss-backend-win64,"if [[ ""oss"" == ""enterprise"" && -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.700034999,0.709865059,0.791402358,0.557965282,7579,14967561628621044446,8062,1837,TRUE
131,https://github.com/grafana/grafana,build-oss-docker-images,grafana/grafana,build-oss-docker-images,#N/A,Skip install for forked PRs of enterprise product; Skip publishing for PR commits,Skip if enterprise and forked PR,△,Skip if enterprise and forked PR,,,,,x,Check PR_number using environment variable;  Check PR_number using environment variable;  ,"Check Circle CI env var.
Use build parameters",△,,x,HALT;HALT,Remaining steps,0,,x,There is halt but it is not used,,Exit if enterprise and forked PR,https://github.com/grafana/grafana,build-oss-docker-images,grafana/grafana,build-oss-docker-images,"if [[ ""oss"" == ""enterprise"" && -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.290240902,0.319571588,0.620296175,0,5175,6800609875172441599,5505,1569,TRUE
67,https://github.com/grafana/grafana,build-oss-frontend,grafana/grafana,build-oss-frontend,#N/A,Skip install for forked PRs of enterprise product,Skip if enterprise and forked PR,0,,,,,,x,Check PR_number using environment variable;  ,"Check Circle CI env var.
Use build parameters",△,,x,HALT,Remaining steps,0,,x,,,Exit if enterprise and forked PR,https://github.com/grafana/grafana,build-oss-frontend,grafana/grafana,build-oss-frontend,"if [[ ""oss"" == ""enterprise"" && -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.728540154,0.70551947,0.831571632,0.560260865,7161,12664056029423471833,7617,1760,TRUE
39,https://github.com/grafana/grafana,build-oss-plugins,grafana/grafana,build-oss-plugins,#N/A,Skip install for forked PRs of enterprise product,Skip if enterprise and forked PR,0,,,,,,x,Check PR_number using environment variable;  ,"Check Circle CI env var.
Use build parameters",△,,x,HALT,Remaining steps,0,,x,,,Exit if enterprise and forked PR,https://github.com/grafana/grafana,build-oss-plugins,grafana/grafana,build-oss-plugins,"if [[ ""oss"" == ""enterprise"" && -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.743657537,0.682856895,0.800220328,0.496617861,4690,14658001490411143197,4988,1795,TRUE
133,https://github.com/grafana/grafana,build-oss-ubuntu-docker-images,grafana/grafana,build-oss-ubuntu-docker-images,#N/A,Skip install for forked PRs of enterprise product; Skip publishing for PR commits,Skip if enterprise and forked PR,△,,,,x; this is interesting,"Don't know if this should be accel
Don't publish docker image when it is not approved",x; this is interesting,Check PR_number using environment variable;  Check PR_number using environment variable;  ,"Check Circle CI env var.
Use build parameters",△,,x,HALT;HALT,Remaining steps,0,,x,,,Exit if enterprise and forked PR,https://github.com/grafana/grafana,build-oss-ubuntu-docker-images,grafana/grafana,build-oss-ubuntu-docker-images,"if [[ ""oss"" == ""enterprise"" && -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.153159721,0.205513639,0.643284785,0,5154,6569432279746791553,5482,1569,TRUE
193,https://github.com/grafana/grafana,package-enterprise,grafana/grafana,package-enterprise,#N/A,Skip install for forked PRs,Skip if PR,△,x,,,Do partial package in specified branches; Do partial package in specified tag,,Do partial package in specified branches; Do partial package in specified tag,Check PR_number using environment variable;  ,Check Circle CI env var.,0,Check Circle CI env var.,Check Circle CI env var.,HALT,Remaining steps,0,Partial step,Partial step,The acceleration does not seem to work well,,Exit if forked PR,https://github.com/grafana/grafana,package-enterprise,grafana/grafana,package-enterprise,"if [[ -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.592524316,0.601824035,0.788302074,0.291644542,5982,540585212057141138,6363,1583,TRUE
61,https://github.com/grafana/grafana,publish-enterprise-packages,grafana/grafana,publish-enterprise-packages,#N/A,Skip install for forked PRs,Skip if PR,△,x,,,Do partial package in specified branches,,Do partial package in specified branches,Check PR_number using environment variable;  ,Check Circle CI env var.,0,Check Circle CI env var.,Check Circle CI env var.,HALT,Remaining steps,0,Partial step,Partial step,,,Exit if forked PR,https://github.com/grafana/grafana,publish-enterprise-packages,grafana/grafana,publish-enterprise-packages,"if [[ -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.580017556,0.630569638,0.869560622,0.48772935,1780,13030993834668111273,1892,454,TRUE
23,https://github.com/grafana/grafana,publish-oss-packages,grafana/grafana,publish-oss-packages,#N/A,Skip install for forked PRs,Skip if PR,△,x,,,Do partial package in specified branches,,Do partial package in specified branches,Check PR_number using environment variable;  ,Check Circle CI env var.,0,Check Circle CI env var.,Check Circle CI env var.,HALT,Remaining steps,0,Partial step,Partial step,,,Exit if forked PR,https://github.com/grafana/grafana,publish-oss-packages,grafana/grafana,publish-oss-packages,"if [[ -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.650927646,0.652358552,0.686100966,0.626962904,1856,15994759918798909751,1973,478,TRUE
140,https://github.com/grafana/grafana,publish-storybook,grafana/grafana,publish-storybook,#N/A,Skip install for forked PRs,x,1,x,,,x,,x,Check PR_number using environment variable;  ,x,1,x,x,HALT,x,1,x,x,,,,https://github.com/grafana/grafana,publish-storybook,grafana/grafana,publish-storybook,,,0.721193155,0.691231143,0.755667838,0.548323399,5983,5715638459268351183,6364,1764,TRUE
189,https://github.com/grafana/grafana,release-next-packages,grafana/grafana,release-next-packages,#N/A,Skip install for forked PRs of enterprise product; Skip releasing when packages are not changed ,Skip if PR,△,,,,,,x,Check PR_number using environment variable;  Check git diff to find changes,Check Circle CI env var.,△,,x,HALT;SKIP,Remaining steps,△,,x,,,Exit if forked PR,https://github.com/grafana/grafana,release-next-packages,grafana/grafana,release-next-packages,"if [[ -n ""$CIRCLE_PR_NUMBER"" ]]; then",,0.532795946,0.556174107,0.781570691,0.344635004,3313,1092832623027373160,3524,379,TRUE
235,https://github.com/grafana/metrictank,deploy,grafana/metrictank,deploy,#N/A,Skip pushing images built from non-master branch,x?,1,x,Non-acceleration skip,,x,,x,Check branch name using environment variable,x,1,x,x,SKIP,x,1,x,x,,,,,,,,,,0.187672198,0.18194503,0.380444986,0.083887107,2205,8579705244992526220,2345,264,FALSE
248,https://github.com/graknlabs/grakn,test-end-to-end,graknlabs/grakn,test-end-to-end,#N/A,x,can't find,0,,,,,,x,x,x,0,,x,x,x,0,,x,,,,,,,,,,0.214715601,0.258410257,0.722227803,0.020358468,1374,10910234184548184419,1461,187,FALSE
270,https://github.com/graknlabs/grakn,test-integration,graknlabs/grakn,test-integration,#N/A,x,can't find,0,,,,,,x,x,x,0,,x,x,x,0,,x,,,,,,,,,,0.247650532,0.27510166,0.781160325,0.003240665,1458,2294962229290108875,1550,190,FALSE
245,https://github.com/graknlabs/grakn,test-integration-reasoner,graknlabs/grakn,test-integration-reasoner,#N/A,x,can't find,0,,,,,,x,x,x,0,,x,x,x,0,,x,,,,,,,,,,0.207733996,0.218454352,0.615966923,0,1367,6017612675652070055,1453,193,FALSE
262,https://github.com/hashicorp/consul,ember-test-oss,hashicorp/consul,ember-test-oss,#N/A,x,looks like very different steps,0,,,,,,x,x,x,0,,x,x,x,0,,x,,,,,,,,,,0.239742036,0.207340518,0.38191065,0.092703285,3152,9580228153465817381,3352,563,FALSE
42,https://github.com/hashicorp/nomad,lint-go,hashicorp/nomad,lint-go,#N/A,x,x?,0,,,,,,x,x,,,,x,,,,,x,,,,https://github.com/hashicorp/nomad,lint-go,hashicorp/nomad,lint-go,,,0.714251198,0.641325836,0.891556965,0.344423714,6788,14414337746984527561,7221,905,TRUE
182,https://github.com/hashicorp/nomad,website-docker-image,hashicorp/nomad,website-docker-image,#N/A,Skip docker-build for enterprise product;Skip docker-build when dependencies are not changed;,Skip if certain file has not changed.,1,Skip if dependency file has not changed,,,,,Skip if dependency file has not changed,Check repository url; Accessing to docker website,Check external API tag,△,Check API tag for dependency changes,Check API tag for dependency changes,HALT,Remaining steps,0,Remaining steps,Remaining steps,,,Skip building if nothing changed,https://github.com/hashicorp/nomad,website-docker-image,hashicorp/nomad,website-docker-image,elif curl https://hub.docker.com/v2/repositories/hashicorp/nomad-website/tags/$IMAGE_TAG -fsL > /dev/null; then,,0.644565533,0.644470858,0.772712159,0.439008637,1498,2199601300360981615,1592,198,TRUE
161,https://github.com/hashicorp/vault,darwin_amd64_package,hashicorp/vault,darwin_amd64_package,#N/A,Skip creating cache when cache has been already made,Skip if the cache to build already exists,0,,,,,,Skip creating cache when cache has been already made,Checking a cache file using find command,Use find command.,0,,Checking a cache file using find command,HALT,Remaining steps,0,,Remaining steps,,,Check cache status,https://github.com/hashicorp/vault,darwin_amd64_package,hashicorp/vault,darwin_amd64_package,"if ! { PKG=$(find .buildcache/packages/store -maxdepth 1 -mindepth 1 -name '*.zip' 2> /dev/null) && [ -n ""$PKG"" ]; }; then",,0.196520182,0.224533546,0.417256218,0.08687938,1666,4160420917625967635,1771,677,TRUE
176,https://github.com/hashicorp/vault,freebsd_386_package,hashicorp/vault,freebsd_386_package,#N/A,Skip creating cache when cache has been already made,Skip if the cache to build already exists,0,,,,,,Skip creating cache when cache has been already made,Checking a cache file using find command,Use find command.,0,,Checking a cache file using find command,HALT,Remaining steps,0,,Remaining steps,,,Check cache status,https://github.com/hashicorp/vault,freebsd_386_package,hashicorp/vault,freebsd_386_package,"if ! { PKG=$(find .buildcache/packages/store -maxdepth 1 -mindepth 1 -name '*.zip' 2> /dev/null) && [ -n ""$PKG"" ]; }; then",,0.206486782,0.226564413,0.36880565,0.078586957,1669,2660609428740822177,1774,687,TRUE
102,https://github.com/hashicorp/vault,freebsd_amd64_package,hashicorp/vault,freebsd_amd64_package,#N/A,Skip creating cache when cache has been already made,Skip if the cache to build already exists,0,,,,,,Skip creating cache when cache has been already made,Checking a cache file using find command,Use find command.,0,,Checking a cache file using find command,HALT,Remaining steps,0,,Remaining steps,"   This is also very interesting       # Split Go tests by prior test times.  If use_docker is true, only run
          # tests that depend on docker, otherwise only those that don't.
          if [ $USE_DOCKER == 1 ]; then
            package_names=$(go list -test -json ./... |
              jq -r 'select(.Deps != null) |
                select(any(.Deps[] ; contains(""github.com/hashicorp/vault/helper/testhelpers/docker""))) |
                .ForTest | select(. != null)' |
                sort -u | circleci tests split --split-by=timings --timings-type=classname)
          else
            package_names=$(go list -test -json ./... |
              jq -r 'select(.Deps != null) |
                select(all(.Deps[] ; contains(""github.com/hashicorp/vault/helper/testhelpers/docker"")|not)) |
                .ForTest | select(. != null)' |
                sort -u | circleci tests split --split-by=timings --timings-type=classname)
          fi",,Check cache status,https://github.com/hashicorp/vault,freebsd_amd64_package,hashicorp/vault,freebsd_amd64_package,"if ! { PKG=$(find .buildcache/packages/store -maxdepth 1 -mindepth 1 -name '*.zip' 2> /dev/null) && [ -n ""$PKG"" ]; }; then",,0.193446362,0.22436338,0.367802303,0.077835887,1664,9779994117241127767,1769,684,TRUE
162,https://github.com/hashicorp/vault,freebsd_arm_package,hashicorp/vault,freebsd_arm_package,#N/A,Skip creating cache when cache has been already made,Skip if the cache to build already exists,0,,,,,,Skip creating cache when cache has been already made,Checking a cache file using find command,Use find command.,0,,Checking a cache file using find command,HALT,Remaining steps,0,,Remaining steps,,,Check cache status,https://github.com/hashicorp/vault,freebsd_arm_package,hashicorp/vault,freebsd_arm_package,"if ! { PKG=$(find .buildcache/packages/store -maxdepth 1 -mindepth 1 -name '*.zip' 2> /dev/null) && [ -n ""$PKG"" ]; }; then",,0.186095041,0.251895139,0.380480496,0.132772893,1673,4145928752711270972,1778,684,TRUE
